"Airports","Periods","Aircraft movements Cross-country flights (number)","Local flights (number)","Commercial air traffic Flights
All flights
Total flights (number)","All flights Scheduled (number)","Passengers Total passengers
Total passengers (number)","Cargo Total cargo
Total cargo (ton)","Mail Total mail
Total mail (ton)"
"Total Dutch airports","2019","603,633","51,939","566,031","552,061","81,167,301","1,681,703","21,959"
"Total Dutch airports","2020","288,182","61,655","258,226","248,730","23,585,744","1,577,582","14,831"
"Total Dutch airports","2021","340,288","84,000","303,062","291,454","29,069,535","1,795,298","13,550"
"Total Dutch airports","2022","511,363","89,064","462,600","446,514","61,268,058","1,545,956","7,715"
"Total Dutch airports","2023","548,773","83,331","505,989","492,211","71,320,837","1,410,317","5,899"
"Total Dutch airports","2024 January*","41,948","5,994","39,237","38,407","5,125,828","120,257","529"
"Total Dutch airports","2024 February*","41,985","5,605","39,333","38,396","5,232,842","123,713","542"
"Total Dutch airports","2024 March*","46,542","7,032","42,859","41,925","5,891,765","139,373","512"
"Total Dutch airports","2024 1st quarter*","130,475","18,631","121,429","118,728","16,250,435","383,342","1,583"
"Total Dutch airports","2024 April*","48,019","7,738","44,627","43,671","6,274,032","120,928","498"
"Total Dutch airports","2024 May*","52,221","8,225","48,215","47,026","6,930,388","126,163","523"
"Total Dutch airports","2024 June*","51,320","9,109","46,924","45,685","6,884,361","125,021","511"
"Total Dutch airports","2024 2nd quarter*","151,560","25,072","139,766","136,382","20,088,781","372,113","1,532"
"Total Dutch airports","2024 July*","53,018","9,289","48,827","47,230","7,251,748","129,985","500"
"Total Dutch airports","2024 August*","53,307","8,486","49,247","47,773","7,375,926","128,625","490"
"Total Dutch airports","2024 September*","51,542","6,631","47,862","46,557","6,966,373","131,502","518"
"Total Dutch airports","2024 3rd quarter*","157,867","24,406","145,936","141,560","21,594,047","390,113","1,508"
"Total Dutch airports","2024 October*","51,297","8,925","47,767","46,636","6,927,832","131,943","621"
"Total Dutch airports","2024 November*","43,498","5,014","40,629","39,898","5,657,172","122,551","676"
"Total Dutch airports","2024 December*","43,848","4,763","41,505","40,788","5,731,674","120,924","856"
"Total Dutch airports","2024 4th quarter*","138,643","18,702","129,901","127,322","18,316,678","375,418","2,153"
"Total Dutch airports","2024*","578,545","86,811","537,032","523,992","76,249,941","1,520,986","6,776"
"Total Dutch airports","2025 January*","42,285","6,180","39,678","38,925","5,361,172","106,373","602"
"Total Dutch airports","2025 February*","41,323","6,895","38,283","37,513","5,271,284","111,211","557"
"Total Dutch airports","2025 March*","47,792","9,873","43,579","42,670","5,998,924","134,562","651"
"Total Dutch airports","2025 1st quarter*","131,400","22,948","121,540","119,108","16,631,380","352,146","1,811"
"Total Dutch airports","2025 April*","49,922","9,210","45,927","45,057","6,671,735","120,863","696"
"Total Dutch airports","2025 May*",".",".",".",".",".",".","."
"Amsterdam Airport Schiphol","2019","509,725","6,059","496,827","489,588","71,679,729","1,570,246","21,959"
"Amsterdam Airport Schiphol","2020","236,154","5,247","227,275","221,649","20,884,510","1,441,597","14,831"
"Amsterdam Airport Schiphol","2021","280,339","5,243","266,956","261,054","25,490,810","1,667,304","13,550"
"Amsterdam Airport Schiphol","2022","416,464","5,832","397,636","389,638","52,470,880","1,437,738","7,715"
"Amsterdam Airport Schiphol","2023","458,590","6,129","441,969","434,359","61,887,628","1,378,042","5,899"
"Amsterdam Airport Schiphol","2024 January*","35,987","503","35,050","34,594","4,543,879","118,253","529"
"Amsterdam Airport Schiphol","2024 February*","36,154","428","35,103","34,581","4,626,939","121,853","542"
"Amsterdam Airport Schiphol","2024 March*","39,446","546","38,221","37,715","5,225,678","136,492","512"
"Amsterdam Airport Schiphol","2024 1st quarter*","111,587","1,477","108,374","106,890","14,396,496","376,598","1,583"
"Amsterdam Airport Schiphol","2024 April*","40,360","598","39,142","38,665","5,470,432","117,657","498"
"Amsterdam Airport Schiphol","2024 May*","43,536","582","42,043","41,338","5,975,694","122,510","523"
"Amsterdam Airport Schiphol","2024 June*","42,492","476","40,857","40,198","5,958,047","121,648","511"
"Amsterdam Airport Schiphol","2024 2nd quarter*","126,388","1,656","122,042","120,201","17,404,173","361,815","1,532"
"Amsterdam Airport Schiphol","2024 July*","43,901","447","42,452","41,581","6,300,801","128,192","500"
"Amsterdam Airport Schiphol","2024 August*","44,479","508","43,117","42,293","6,417,039","126,833","490"
"Amsterdam Airport Schiphol","2024 September*","43,179","463","41,778","41,068","6,030,813","129,351","518"
"Amsterdam Airport Schiphol","2024 3rd quarter*","131,559","1,418","127,347","124,942","18,748,653","384,377","1,508"
"Amsterdam Airport Schiphol","2024 October*","43,347","353","42,005","41,361","6,038,966","130,295","621"
"Amsterdam Airport Schiphol","2024 November*","37,883","435","36,588","36,236","5,071,186","120,293","676"
"Amsterdam Airport Schiphol","2024 December*","38,572","323","37,447","37,110","5,164,857","118,160","856"
"Amsterdam Airport Schiphol","2024 4th quarter*","119,802","1,111","116,040","114,707","16,275,009","368,747","2,153"
"Amsterdam Airport Schiphol","2024*","489,336","5,662","473,803","466,740","66,824,331","1,491,537","6,776"
"Amsterdam Airport Schiphol","2025 January*","36,785","370","35,714","35,343","4,804,006","104,355","602"
"Amsterdam Airport Schiphol","2025 February*","35,435","500","34,339","33,963","4,693,266","108,879","557"
"Amsterdam Airport Schiphol","2025 March*","40,169","587","38,870","38,471","5,324,550","131,645","651"
"Amsterdam Airport Schiphol","2025 1st quarter*","112,389","1,457","108,923","107,777","14,821,822","344,879","1,811"
"Amsterdam Airport Schiphol","2025 April*","41,619","560","40,363","39,911","5,825,953","116,695","696"
"Amsterdam Airport Schiphol","2025 May*",".",".",".",".",".",".","."
"Rotterdam The Hague Airport","2019","30,100","22,245","18,406","15,374","2,094,798","0","0"
"Rotterdam The Hague Airport","2020","16,119","22,459","6,337","4,916","489,841","0","0"
"Rotterdam The Hague Airport","2021","19,271","27,827","8,307","5,662","755,395","0","0"
"Rotterdam The Hague Airport","2022","32,299","27,021","18,383","14,295","2,113,342","0","0"
"Rotterdam The Hague Airport","2023","31,617","24,754","18,360","15,731","2,224,605","0","0"
"Rotterdam The Hague Airport","2024 January*","1,917","2,035","1,070","927","122,339","0","0"
"Rotterdam The Hague Airport","2024 February*","2,029","1,692","1,211","1,015","135,742","0","0"
"Rotterdam The Hague Airport","2024 March*","2,357","2,118","1,262","1,100","145,302","0","0"
"Rotterdam The Hague Airport","2024 1st quarter*","6,303","5,845","3,543","3,042","403,383","0","0"
"Rotterdam The Hague Airport","2024 April*","2,513","2,273","1,497","1,282","172,679","0","0"
"Rotterdam The Hague Airport","2024 May*","2,961","2,523","1,785","1,579","229,894","0","0"
"Rotterdam The Hague Airport","2024 June*","3,101","2,315","1,750","1,510","229,999","0","0"
"Rotterdam The Hague Airport","2024 2nd quarter*","8,575","7,111","5,032","4,371","632,572","0","0"
"Rotterdam The Hague Airport","2024 July*","3,323","2,439","2,050","1,674","258,353","0","0"
"Rotterdam The Hague Airport","2024 August*","3,215","2,745","1,924","1,595","255,353","0","0"
"Rotterdam The Hague Airport","2024 September*","3,083","2,205","1,882","1,578","244,923","0","0"
"Rotterdam The Hague Airport","2024 3rd quarter*","9,621","7,389","5,856","4,847","758,629","0","0"
"Rotterdam The Hague Airport","2024 October*","2,730","2,457","1,620","1,420","202,662","0","0"
"Rotterdam The Hague Airport","2024 November*","1,812","1,842","1,061","907","121,085","0","0"
"Rotterdam The Hague Airport","2024 December*","1,688","1,118","1,070","937","120,888","0","0"
"Rotterdam The Hague Airport","2024 4th quarter*","6,230","5,417","3,751","3,264","444,635","0","0"
"Rotterdam The Hague Airport","2024*","30,729","25,762","18,182","15,524","2,239,219","0","0"
"Rotterdam The Hague Airport","2025 January*","1,944","1,394","1,130","967","129,578","0","0"
"Rotterdam The Hague Airport","2025 February*","2,064","1,987","1,085","933","134,517","0","0"
"Rotterdam The Hague Airport","2025 March*","2,664","2,854","1,253","1,071","149,530","0","0"
"Rotterdam The Hague Airport","2025 1st quarter*","6,672","6,235","3,468","2,971","413,625","0","0"
"Rotterdam The Hague Airport","2025 April*","2,966","2,695","1,514","1,333","194,366","0","0"
"Rotterdam The Hague Airport","2025 May*","3,289","2,772","1,860","1,613","243,146","0","0"
"Eindhoven Airport","2019","41,441","0","40,209","39,182","6,780,775","0","0"
"Eindhoven Airport","2020","18,821","1","17,875","17,248","2,112,785","0","0"
"Eindhoven Airport","2021","21,706","0","20,524","19,550","2,698,424","0","0"
"Eindhoven Airport","2022","40,256","0","38,979","37,768","6,330,599","0","0"
"Eindhoven Airport","2023","41,496","0","40,544","39,418","6,876,917","0","0"
"Eindhoven Airport","2024 January*","2,821","0","2,755","2,692","443,501","0","0"
"Eindhoven Airport","2024 February*","2,785","1","2,695","2,638","456,692","0","0"
"Eindhoven Airport","2024 March*","3,079","0","2,971","2,927","505,130","0","0"
"Eindhoven Airport","2024 1st quarter*","8,685","1","8,421","8,257","1,405,323","0","0"
"Eindhoven Airport","2024 April*","3,639","0","3,552","3,498","610,342","0","0"
"Eindhoven Airport","2024 May*","3,978","0","3,885","3,829","688,046","0","0"
"Eindhoven Airport","2024 June*","3,828","0","3,743","3,688","658,426","0","0"
"Eindhoven Airport","2024 2nd quarter*","11,445","0","11,180","11,015","1,956,814","0","0"
"Eindhoven Airport","2024 July*","3,828","0","3,735","3,663","651,651","0","0"
"Eindhoven Airport","2024 August*","3,722","0","3,628","3,568","648,552","0","0"
"Eindhoven Airport","2024 September*","3,824","0","3,726","3,655","650,478","0","0"
"Eindhoven Airport","2024 3rd quarter*","11,374","0","11,089","10,886","1,950,681","0","0"
"Eindhoven Airport","2024 October*","3,802","0","3,708","3,642","652,775","0","0"
"Eindhoven Airport","2024 November*","2,762","0","2,672","2,616","456,393","0","0"
"Eindhoven Airport","2024 December*","2,758","0","2,656","2,595","437,158","0","0"
"Eindhoven Airport","2024 4th quarter*","9,322","0","9,036","8,853","1,546,326","0","0"
"Eindhoven Airport","2024*","40,826","1","39,726","39,011","6,859,144","0","0"
"Eindhoven Airport","2025 January*","2,602","0","2,531","2,476","418,306","0","0"
"Eindhoven Airport","2025 February*","2,631","0","2,549","2,486","433,794","0","0"
"Eindhoven Airport","2025 March*","3,108","0","3,029","2,966","514,632","0","0"
"Eindhoven Airport","2025 1st quarter*","8,341","0","8,109","7,928","1,366,732","0","0"
"Eindhoven Airport","2025 April*","3,691","0","3,618","3,573","627,742","0","0"
"Eindhoven Airport","2025 May*","4,023","0","3,944","3,909","697,867","0","0"
"Maastricht Aachen Airport","2019","11,404","2,681","7,199","5,784","435,977","111,457","0"
"Maastricht Aachen Airport","2020","8,962","2,690","6,127","4,597","81,080","135,985","0"
"Maastricht Aachen Airport","2021","9,990","2,912","6,601","5,188","97,646","127,994","0"
"Maastricht Aachen Airport","2022","10,909","2,925","6,409","4,813","266,032","108,218","0"
"Maastricht Aachen Airport","2023","6,567","2,412","3,935","2,703","223,152","32,275","0"
"Maastricht Aachen Airport","2024 January*","473","173","286","194","11,753","2,004","0"
"Maastricht Aachen Airport","2024 February*","449","130","256","162","9,683","1,860","0"
"Maastricht Aachen Airport","2024 March*","788","320","335","183","12,074","2,881","0"
"Maastricht Aachen Airport","2024 1st quarter*","1,710","623","877","539","33,510","6,744","0"
"Maastricht Aachen Airport","2024 April*","649","182","370","226","14,244","3,271","0"
"Maastricht Aachen Airport","2024 May*","720","214","383","280","25,104","3,653","0"
"Maastricht Aachen Airport","2024 June*","828","442","449","289","27,255","3,374","0"
"Maastricht Aachen Airport","2024 2nd quarter*","2,197","838","1,202","795","66,603","10,297","0"
"Maastricht Aachen Airport","2024 July*","837","248","461","312","31,335","1,793","0"
"Maastricht Aachen Airport","2024 August*","718","226","417","317","34,009","1,791","0"
"Maastricht Aachen Airport","2024 September*","615","138","357","256","26,795","2,151","0"
"Maastricht Aachen Airport","2024 3rd quarter*","2,170","612","1,235","885","92,139","5,736","0"
"Maastricht Aachen Airport","2024 October*","534","224","327","213","22,085","1,648","0"
"Maastricht Aachen Airport","2024 November*","459","146","249","139","4,550","2,258","0"
"Maastricht Aachen Airport","2024 December*","415","153","262","146","4,620","2,765","0"
"Maastricht Aachen Airport","2024 4th quarter*","1,408","523","838","498","31,255","6,671","0"
"Maastricht Aachen Airport","2024*","7,485","2,596","4,152","2,717","223,507","29,448","0"
"Maastricht Aachen Airport","2025 January*","370","108","232","139","5,222","2,018","0"
"Maastricht Aachen Airport","2025 February*","395","248","243","131","5,935","2,332","0"
"Maastricht Aachen Airport","2025 March*","763","313","364","162","6,517","2,917","0"
